GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
DEFA5	0.12	68.07	-0.01	53.51	0.59	81.42	0.14	61.86	0.37	74.91	0.29	75.26	0.14	61	-0.39	27.64	79.39050831	N
DEFA6	0.69	86.48	0.75	86.48	0.02	50.77	0.92	93.12	0.16	64.82	-0.13	49.82	0.47	78	0.98	90.47	46.09732595	N
DEFB1	0.22	72.38	-0.07	48.12	0.15	59.55	-0.01	48.28	-0.32	32.45	-0.19	43.65	0.18	63.51	0.18	69.93	95.74801253	Y
DEFB104A	0.1	66.58	0.61	83	0.37	72.43	0.9	92.8	0.84	88.07	0.06	65.58	0.11	58.99	0.07	63.34	#N/A	N
DEFB108B	1.6	95.61	1.37	94.47	0.84	87.97	0.73	89.81	1.36	94.2	2.03	97.23	1.2	93.19	2.14	97.6	99.12069381	N
DEFB110	-0.08	52.75	-0.16	41.25	-0.11	42.1	0.1	58.27	-0.19	41.39	-0.11	51.62	-0.03	48.73	-0.02	56.24	40.4480848	Y
DEFB112	-0.12	48.6	0.01	54.95	0.49	77.51	0.34	76.64	-0.16	43.78	-0.09	53.45	0.27	69.07	-0.15	45.89	89.83979764	Y
DEFB113	-0.08	52.75	-0.14	42.88	0.18	61.63	0.12	59.81	-0.16	43.78	-0.09	53.45	-0.08	45.18	-0.05	53.64	52.34280896	Y
DEFB114	0.01	60.6	-0.01	52.85	0.13	58.4	0.22	68.47	0.01	55.83	0.02	62.73	0.21	65.81	-0.02	56.24	15.24331486	Y
DEFB115	0	59.32	0.21	67.72	0.09	55.75	0.2	67.15	0.01	55.83	0.02	62.73	0.17	62.87	-0.05	53.64	77.94507348	Y
DEFB116	0.75	87.51	0.35	73.97	0.32	70.14	0.12	59.81	0.26	69.87	0.46	81.29	0.32	71.39	0.27	73.56	95.80823898	Y
DEFB118	0.31	75.87	0.3	72.01	0.39	73.25	0.37	78.18	0.09	60.89	-0.17	45.6	0.32	71.39	0.27	73.56	30.5769694	Y
DEFB119	0.92	90.03	0.46	78.46	0.95	89.99	0.99	93.98	0.65	83.79	0.23	72.83	0.78	87.12	0.32	75.45	90.15297519	N
DEFB121	-0.03	56.85	-0.08	47.79	0.15	59.99	0.17	64.34	-0.06	51	-0.02	59.11	0.26	68.43	0.01	58.77	58.22091062	Y
DEFB123	0.01	60.6	-0.01	52.85	-0.16	39.07	0.22	68.47	0.01	55.83	0.02	62.73	0.06	55.51	0.04	61.25	89.21344254	Y
DEFB124	0.86	89.33	0.77	86.89	0.65	83.01	0.54	84.8	0.36	74.41	0	61.1	0.5	79.25	0.78	87.59	99.5061431	N
DEFB125	-0.09	51.36	0.33	73.11	0.14	58.97	0.1	58.27	0.57	81.74	-0.11	51.62	0.12	59.86	-0.08	50.87	58.50397495	Y
DEFB126	0.28	74.82	0.26	70.06	0.16	60.65	0.34	76.64	0.57	81.74	0.42	79.89	0.42	76.19	0.18	69.93	18.57383763	Y
DEFB127	0.79	88.32	0.66	84.27	0.59	81.33	0.46	81.79	0.67	84.33	1.01	91.35	0.56	81.33	0.66	85.18	84.98554565	N
DEFB128	0.75	87.51	1.08	91.76	0.62	82.18	0.99	93.91	0.67	84.33	1.01	91.35	1.16	92.75	0.95	90.12	88.05107203	N
DEFB129	0.63	85.37	0.39	76.05	0.15	59.55	0.55	84.98	0.37	74.91	0.29	75.26	0.42	76.19	0.56	83.03	55.23970128	N
DEFB131	0.34	76.98	0.59	82.45	0.62	82.18	0.41	79.62	0.26	69.87	-0.07	55.41	0.61	82.73	0.3	74.67	94.75427608	N
DEFB132	0.65	85.7	1.17	92.68	1.21	93.36	0.87	92.42	1.22	93.15	0.36	77.59	0.63	83.41	0.77	87.44	84.39532643	N
DEFB134	-0.08	52.75	-0.14	42.88	0.18	61.63	0.12	59.81	-0.12	46.17	-0.07	55.41	-0.17	38.94	-0.12	48.49	49.86147916	Y
DEFB135	0.37	78.1	0.15	64.11	0.55	79.77	0.44	81.08	0.32	72.92	-0.02	59.11	0.41	75.68	0.33	75.84	88.16550229	Y
DEFB136	-0.1	49.88	-0.19	39.68	-0.19	37.08	0.09	56.76	-0.19	41.39	-0.11	51.62	0.02	53.09	-0.15	45.89	19.3567815	Y
DEGS1	-0.22	39.8	-0.12	44.89	-0.08	44.38	-0.05	45.37	-0.01	54.49	0.29	75.26	0.22	66.59	-0.18	43.38	34.40737172	Y
DEGS2	-0.11	49.14	0.4	76.31	-0.2	36.82	-0.11	40	0.51	80.13	0.15	69.59	-0.23	35.31	-0.4	26.66	14.2074199	N
DEK	0.02	61.18	-0.38	27.69	-0.27	32.83	-0.25	30.64	0.2	67.14	0.19	71.2	-0.29	31.79	-0.12	47.02	30.01084076	N
DENND1A	-1.55	2.39	-1.46	3.86	-1.36	5.51	-0.74	11.23	-1.61	3.03	-1.49	2.46	-1.31	5.45	-0.71	13.56	20.50108408	N
DENND1B	-0.26	36.41	-0.43	25.15	-0.64	17.4	-0.1	41.12	-0.56	20.63	-0.34	31.62	-0.27	33.32	-0.18	43.38	5.022886052	Y
DENND1C	0.84	88.95	1.25	93.47	0.59	81.26	-0.06	43.29	0.48	78.81	0.46	80.68	1.25	93.63	1.13	92.26	86.44904842	N
DENND2A	-0.37	28.26	-0.81	12.07	-0.65	17.02	-1.67	2.4	-0.87	10.93	-0.15	45.69	0.55	80.9	-0.23	38.36	26.34304987	N
DENND2C	0	59.41	1	90.79	0.4	73.76	-0.08	41.8	1.86	96.95	0.38	77.74	0.26	68.06	0.51	81.5	79.11346663	N
DENND2D	-0.64	15.22	-0.29	33.34	0.21	63.48	0.03	51.43	-0.23	37.79	-0.62	16.23	-0.23	35.31	-0.4	26.66	23.24138762	N
DENND3	-1.1	5.48	-0.56	19.06	-1.1	8.09	-0.32	25.94	-1.18	6.25	-1.17	4.6	-1.44	4.46	-1.2	5.11	18.60395086	N
DENND4A	-1.13	5.18	-0.92	9.77	-1.32	5.86	-1.01	6.94	-0.5	22.4	-1.51	2.36	-0.91	10.7	-0.77	11.99	57.57046495	N
DENND4B	-1.58	2.25	-2.46	1	-1.73	3.17	-1.64	2.56	-2.2	1.31	-1.38	3	-2.23	1.61	-1.6	2.56	23.90990123	N
DENND4C	1.61	95.64	-0.96	9.02	-0.43	25.18	-1.86	1.79	-1.91	1.93	-0.81	9.85	0.88	88.85	0.86	88.99	#N/A	N
DENND5A	-0.93	7.71	-1.37	4.45	-1.34	5.71	-1.37	3.85	-1.04	8.13	-0.6	16.55	-1.64	3.4	-1.16	5.51	30.5227656	N
DENND5B	-0.24	37.75	-0.44	24.6	-1.15	7.54	-1.03	6.63	0.05	58.25	0.68	85.91	-0.87	11.26	-0.59	17.49	32.78125753	N
DENND6A	-0.32	32.09	-0.03	51.66	0.07	54.81	0.41	79.88	0.27	70.41	-0.3	34.73	-0.4	26.25	-0.42	25.91	#N/A	N
DENND6B	-0.23	38.88	-0.95	9.27	-0.96	10.01	-0.44	20.32	-0.9	10.32	0.02	61.31	-0.83	12.19	-0.56	18.71	#N/A	N
DENR	0.02	61.78	0.24	68.72	0.02	51.26	0.22	68.47	0.39	75.71	0.02	62.73	0.06	55.51	0.04	61.25	52.57769212	Y
DEPDC1	-0.29	33.48	-0.13	43.91	-0.43	24.9	-0.33	25.93	-0.3	33.48	-0.13	48.29	0.11	59.29	-0.34	30.52	94.62177788	N
DEPDC1B	-0.54	19.15	-0.6	17.91	-0.68	16.31	-0.42	21.53	-0.51	22.35	-0.55	18.99	-0.49	22.27	-0.48	22.63	64.09901229	N
DEPDC4	-0.01	58.66	-0.18	40.16	0.08	55.42	-0.28	28.4	-0.28	35.31	0.12	68.73	-0.25	34.57	0.29	74.24	25.16863406	N
DEPDC5	0.17	70.04	-1.12	6.62	-2.29	1.56	-1.61	2.69	-1.02	8.35	-0.19	41.78	-1.15	7	-1.17	5.34	26.09612142	N
DEPDC7	0.33	76.74	-0.07	48.54	0.61	82.04	-0.09	41.5	0.44	77.82	0.63	85.37	0.1	58.23	-0.18	41.72	88.10527584	N
DEPTOR	0.52	82.38	0.07	58.96	-0.33	29.82	-0.07	43.21	0.32	72.59	1.37	94.48	0.45	77.28	0.49	80.99	87.39460371	N
DERA	-0.42	25.38	-0.43	25.37	-0.79	13.42	0.01	49.88	-0.66	16.92	-0.41	27.43	-0.44	24.06	-0.06	52.06	28.31245483	N
DERL1	0.24	72.99	-0.05	49.76	0.48	77	0	49.5	0.12	62.86	0.38	78.32	-0.07	46.14	0.18	69.93	93.30884124	Y
DERL2	-0.08	52.75	-0.14	42.88	-0.11	42.1	0.12	59.81	-0.02	53.64	0	61.1	-0.22	36.04	-0.15	45.89	8.25102385	Y
DERL3	0.43	80.24	0.6	82.66	0.31	69.44	0.33	76.03	0.55	81.07	1.23	93.49	1.07	91.9	0.35	76.56	21.31414117	N
DES	0.19	70.88	-0.51	21.56	-0.09	43.93	-0.24	30.91	-0.58	19.72	-0.07	54.03	0.22	66.02	-0.43	24.92	51.60804625	N
DESI1	-0.05	55.48	-0.12	44.54	-0.03	47.43	0.14	61.38	-0.09	48.54	-0.05	57.34	-0.08	45.18	-0.05	53.64	15.52637919	Y
DESI2	0	59.32	0.21	67.72	0.09	55.75	0.2	67.15	0.29	71.41	-0.05	57.34	0.01	52.23	0.01	58.77	6.088894242	Y
DET1	-0.76	11.26	-0.96	9.17	-0.74	14.61	-0.68	12.3	-0.78	13.28	-0.72	12.54	-0.87	11.42	-0.72	13.42	39.1411708	N
DEXI	0.08	65.66	0.08	59.43	0.04	52.36	0.29	73.48	0.08	60.11	0.06	65.58	0.2	65.01	0.13	67.15	13.47867984	Y
DFFA	-0.04	56.02	0.51	80.1	0.44	75.44	0.84	92	0.31	72.39	-0.51	21.17	0.78	87.12	0.71	86.28	91.8754517	N
DFFB	0.06	64.52	-0.07	48.35	0.29	68.02	-0.2	33.83	0.2	67.14	0.19	71.2	-0.11	43.42	0.38	77.69	33.81112985	N
DFNA5	0.21	71.9	-0.13	44.03	0.28	67.68	-0.41	21.79	-0.42	26.02	0.61	84.73	0.63	83.48	-0.41	26.19	89.53264274	N
DFNB31	0.36	77.72	0.64	83.65	-0.17	38.56	-0.52	17.16	0.93	89.63	1.14	92.5	0.53	80.21	0.96	90.18	84.55793785	N
DFNB59	0.45	80.65	-0.14	43.57	0.35	71.6	0.33	76.03	0.55	81.07	0.7	86.62	0.43	76.7	0.41	78.67	92.68248615	N
DGAT1	-0.18	42.26	-0.84	11.36	-0.41	26.11	-0.68	12.43	-0.32	31.58	0.15	69.09	-0.93	10.25	-0.85	9.9	16.09250783	N
DGAT2	0.04	62.41	0.35	74.37	0.35	71.6	0.63	87.69	0.76	86.53	-0.47	23.43	0.04	53.75	0.09	64.59	82.61864611	N
DGAT2L6	-0.41	26.34	-0.65	16.36	-0.02	48.12	-0.27	29.64	-0.52	21.96	-0.32	33.13	-0.11	43.42	-0.39	27.64	85.22042881	N
DGCR14	0.86	89.2	0.47	78.74	0.34	71.24	-0.43	20.97	0.39	75.49	1.42	94.71	0.18	63.69	0.16	68.78	68.51963382	N
DGCR2	-0.8	10.41	-1.17	6.03	-0.39	26.95	-0.93	8.04	-1.31	5.02	-0.77	11.03	-0.84	11.97	-0.79	11.45	39.15923874	N
DGCR6	0.38	78.46	0.51	80.1	-0.29	31.91	-0.03	47.18	0.13	63.39	-0.38	28.74	-0.13	41.19	0.43	79.24	23.62081426	N
DGCR6L	0.56	83.63	0.04	56.92	-0.2	36.75	-0.11	39.74	0.3	72	0.78	88.15	0.04	53.75	-0.3	33.66	14.33389545	Y
DGCR8	-0.54	18.77	-1	8.47	-1.12	7.87	-0.61	14.26	-0.77	13.46	-0.43	24.94	-0.66	16.55	-0.52	20.29	13.28595519	N
DGKA	-0.68	13.66	0.15	64.74	-0.93	10.56	-0.29	27.7	-0.06	50.06	-0.74	11.96	-0.38	27.1	-0.34	30.52	19.86268369	N
DGKB	-0.5	20.75	-0.93	9.61	-1.29	6.12	-0.85	9.27	-1.12	7.05	-0.41	26.29	-1	9.23	-0.19	41.14	6.938087208	N
DGKD	-1.67	1.93	-2.34	1.16	-2.41	1.37	-1.74	2.19	-2.7	0.7	-1.7	1.69	-1.93	2.35	-1.72	2.13	18.09202602	N
DGKE	-0.29	33.48	-0.38	28.01	-0.72	14.99	-0.62	14.13	-0.2	40.2	-0.6	17.16	-1.1	7.71	-0.49	21.68	31.61286437	N
DGKG	-0.63	15.27	-1.52	3.42	-0.2	36.41	-1.49	3.17	-1.51	3.44	-0.36	28.86	-1.06	8.23	-0.32	31.78	78.1618887	N
DGKH	-0.9	8.25	-1.3	4.92	-0.96	10.03	-1.03	6.68	-0.38	28.57	-0.66	14.26	-1.7	3.13	-1.42	3.42	34.71452662	N
DGKI	-0.57	17.51	-1.04	7.77	-0.91	11.06	-0.65	13.35	-0.95	9.58	-0.83	9.81	-1.02	8.79	-0.91	8.82	15.28547338	N
DGKQ	-1.84	1.49	-2.68	0.74	-1.73	3.18	-1.65	2.48	-2.89	0.56	-2.06	0.95	-1.64	3.4	-1.54	2.86	37.52107926	N
DGKZ	-0.24	37.75	0.27	70.69	-0.13	40.97	0.41	79.39	0.51	79.9	-1.1	5.36	-0.02	49.8	-0.58	17.81	33.40761262	N
DGUOK	-0.05	54.71	-0.25	35.99	0.4	73.68	-0.04	45.77	0	54.9	0.06	64.99	0	50.86	-0.48	22.63	80.34810889	N
DHCR24	-0.68	13.66	-0.82	11.77	-0.93	10.56	-0.29	27.7	-0.27	35.59	-0.64	15.52	-0.53	20.87	-0.28	34.54	14.88195616	N
DHCR7	-0.77	11.06	-0.86	10.89	-0.16	38.87	-0.88	8.81	-0.83	11.99	-1.23	4.18	-1.01	8.95	-1.06	6.49	21.00698627	N
DHDDS	0.06	64.52	-0.09	46.74	-0.15	39.85	0.07	55.79	-0.18	42.09	0.19	71.2	0.08	57.16	0.12	66.65	67.20067454	N
DHDH	1.57	95.45	1.76	96.71	1.04	91.34	1.46	97.33	1.87	97.03	1.4	94.61	1.13	92.58	1.75	96.21	68.66417731	N
DHFR	-0.05	55.48	0.15	64.11	0.11	57.36	0.15	62.8	-0.02	53.64	0	61.1	0.07	56.4	-0.12	48.49	4.601300891	Y
DHFRL1	0.65	85.7	0.19	66.82	-0.1	42.66	0.29	73.88	0.47	78.73	0.89	89.79	0.42	76.19	0.56	83.03	13.62322332	Y
DHODH	0.23	72.66	0.04	57.31	0.62	82.29	0.38	78.56	-0.5	22.59	0.27	73.91	0.63	83.41	0.38	77.69	49.60250542	N
DHPS	-0.24	37.97	-0.53	20.7	-0.85	12.13	-0.55	16.35	-1.23	5.84	-0.77	11.38	-0.05	47.38	-0.12	47.02	36.78029391	N
DHRS1	-0.05	54.71	-0.49	22.36	-0.47	23.06	-0.04	45.77	-0.31	33.16	0.1	67.67	-0.4	26.25	-0.03	54.84	61.18405204	N
DHRS11	-0.26	36.41	-0.18	39.95	-0.2	36.75	0.19	66.09	0.02	56.56	0.31	76.03	-0.3	31.21	-0.36	29.59	30.39629005	Y
DHRS12	0.25	73.32	0.62	83.36	1.09	92.11	0.69	88.95	1.45	94.86	0.55	83.48	-0.13	41.19	0.05	61.75	62.97880029	N
DHRS13	-0.05	54.71	-0.27	34.6	0.25	66.31	-0.35	24.69	-0.38	29.05	0.06	64.99	0.09	57.81	-0.03	54.84	48.21127439	N
DHRS2	-0.54	18.77	0.71	85.76	0.92	89.53	1.7	98.12	0.64	83.54	-1.02	6.32	0.73	85.94	-0.35	29.97	58.72079017	N
DHRS3	-0.36	29.16	-0.34	30.37	-0.34	29.35	0.07	55.79	0.03	57.07	-0.45	24.65	-0.55	20.05	-0.36	29.59	11.78631655	N
DHRS4	0.77	88.01	0.49	79.38	0.54	79.59	0.24	70.52	0.03	57.07	0.61	84.96	0.45	77.28	0.11	65.89	42.06817634	N
DHRS4L2	3.77	99.51	2.47	98.61	1.88	97.73	3.65	99.69	2.32	98.21	3.03	99.01	2.5	98.87	2.61	98.6	98.319682	N
DHRS7	-0.46	22.89	0.24	69.37	0.11	57.07	0.24	70.52	-0.28	35.31	0.12	68.73	0.49	78.77	0.29	74.24	69.30257769	N
DHRS7B	-0.33	31.07	-0.05	50.01	-0.11	42.29	-0.18	35	-0.29	34.57	-0.17	45.6	0.05	54.3	-0.06	52.06	53.29438689	N
DHRS7C	0.33	76.74	0.2	67.19	0.61	82.04	0.79	91.07	-0.03	52.33	0.57	84.01	1.19	93.06	-0.28	34.54	36.64779571	N
DHRS9	-0.09	50.47	0.66	84.55	0.28	67.61	0.19	66.37	0.48	79.08	-0.41	27.43	0.11	59.29	0.43	79.24	54.90845579	N
DHRSX	1.43	94.62	0.46	78.69	-0.38	27.61	0.62	87.27	0.52	80.31	1.5	95.13	1	90.88	0.76	87.19	13.99060467	N
DHTKD1	-0.33	31.12	0.99	90.48	-0.09	43.55	-0.18	35.03	1.1	91.79	-0.15	45.78	0.01	50.97	-0.13	46.32	44.45916647	N
DHX15	-0.52	19.77	-0.82	11.68	-1.22	6.76	-0.4	22.2	-0.76	13.85	-0.47	23.43	-0.73	14.64	-0.63	16.36	2.222356059	N
DHX16	-0.54	18.77	-0.02	52.25	2.52	98.93	-0.61	14.26	-0.12	45.17	-0.26	36.81	-0.45	23.63	-0.32	32.05	22.24162852	N
DHX29	-1.43	3	-0.99	8.6	-0.7	15.53	-1.45	3.32	-0.61	18.19	-1.34	3.3	-0.77	13.49	-1.06	6.49	40.29149603	N
DHX30	-1.11	5.45	-1.51	3.54	-2	2.27	-1.1	5.96	-1.73	2.51	-1.08	5.64	-1.04	8.58	-0.99	7.52	5.721512888	N
DHX32	-0.54	18.77	-0.51	21.73	0.05	52.7	-0.32	26.08	-1.33	4.85	-0.83	9.81	-0.39	26.38	-0.44	24.54	74.253192	N
DHX33	0.03	61.83	-0.17	40.63	1.06	91.73	0.24	69.88	-0.31	32.56	0.44	80.03	-0.17	38.12	-0.77	11.99	57.49217056	N
DHX34	-1.21	4.42	-1.02	8	-0.96	10.13	-1.12	5.75	-1.93	1.87	-1.06	5.66	-0.74	14.06	-1.4	3.46	61.92483739	N
DHX35	-0.33	31.23	-0.33	30.86	-0.23	35.03	-0.56	16.02	0.58	81.84	0	59.3	-0.34	29.19	-0.56	18.71	82.94386895	N
DHX36	-0.58	16.97	-1.06	7.48	-0.66	16.73	-0.95	7.76	-0.67	16.3	-0.36	29.07	-0.7	15.3	-0.7	13.8	23.10286678	N
DHX37	0.73	87.01	-1.05	7.64	-0.59	18.95	-1.35	3.99	-0.94	9.6	0.15	68.85	-0.82	12.35	0.56	82.79	32.96795953	N
DHX38	-1.27	3.98	-1.14	6.36	-1.87	2.67	-0.31	26.59	-0.66	16.36	-1.32	3.37	-1.82	2.66	-1.81	1.87	8.341363527	N
DHX40	-0.51	20.54	-0.8	12.24	-1.18	7.22	-0.38	23.02	-0.76	13.85	-0.47	23.43	-0.92	10.37	-0.6	17.35	3.94483257	N
DHX57	-1.24	4.23	-1.14	6.4	-0.16	39.44	-1.23	4.85	-0.75	13.87	-0.55	18.13	-0.37	27.11	-1.39	3.56	61.33461816	N
DHX58	1.04	91.33	-0.28	33.56	1.29	94.25	-0.6	14.4	0.79	87.11	2.01	97.14	-0.11	43.02	0.11	65.95	83.8051072	N
DHX8	-0.99	6.79	-1.06	7.48	-1.53	4.26	-0.37	23.36	-0.26	35.78	-0.87	8.82	-1.29	5.64	-0.99	7.52	23.62683691	N
DHX9	-0.74	11.95	-1.16	6.17	-1.97	2.35	-0.65	13.23	-1.29	5.17	-0.81	10.28	-0.88	11.19	-0.57	18.55	7.437966755	N
DIABLO	-0.28	35.17	-0.21	38.58	0.05	53.05	0.17	64.67	-0.52	21.96	-0.32	33.13	0.22	66.59	-0.18	43.38	88.713563	Y
DIAPH1	-1.11	5.45	-1.24	5.46	-1.42	5.09	-0.51	17.79	-0.8	12.7	-0.98	6.89	-0.79	12.85	-0.76	12.16	42.82100699	N
DIAPH2	-0.78	10.9	-1	8.37	-1.07	8.5	-0.72	11.65	-0.75	14.17	-0.17	44.12	-0.27	32.44	-0.81	11.04	40.18308841	N
DIAPH3	-0.63	15.27	0.19	66.27	0.81	87.37	0.24	70.26	0.62	82.92	-0.21	40.15	-0.61	17.98	-0.89	9.23	35.53360636	N
DICER1	-1.77	1.67	-1.52	3.44	-1.53	4.29	-1.85	1.8	-1.5	3.49	-1.66	1.81	-1.76	2.92	-1.93	1.57	22.08503975	N
DIDO1	-0.58	16.99	-1.41	4.15	-0.19	37.5	-3.18	0.35	-1.49	3.52	-0.15	45.62	-1.31	5.38	-1.89	1.66	58.04625391	N
DIEXF	0.17	70.03	1.03	91.07	0.45	75.93	0.41	79.39	0.53	80.47	0.74	87.11	0.26	68.06	0.12	66.72	60.95519152	N
DIMT1	-0.09	51.36	-0.16	41.25	0.72	85.02	0.1	58.27	-0.09	48.54	-0.05	57.34	0.02	53.09	-0.15	45.89	56.54059263	Y
DIO1	-0.31	33.12	-0.25	35.75	-0.18	38.2	-0.15	37.38	-0.36	30.26	-0.21	41.76	-0.3	31.21	-0.36	29.59	72.32594556	N
DIO2	0.29	75.38	0.04	56.64	-0.23	34.77	0.07	55.44	0.22	68.16	0.44	80.53	-0.07	46.14	0.18	69.93	65.47819802	Y
DIO3	-0.33	31.07	-0.29	32.94	-0.11	42.29	0.11	58.69	-0.11	46.94	-0.3	34.73	-0.26	34.03	-0.33	31.71	9.774753072	N
DIP2A	-1.92	1.33	-2.78	0.68	-1.94	2.38	-2.13	1.25	-2.33	1.11	-1.85	1.3	-2.66	0.99	-1.74	2.04	43.49554324	N
DIP2B	-0.97	6.99	-1.81	2.19	-1.9	2.56	-1.6	2.75	-0.95	9.42	-0.49	21.26	-1.66	3.29	-1.64	2.39	44.39291737	N
DIP2C	-2.66	0.5	-3.62	0.29	-5.05	0.12	-2.6	0.65	-3.45	0.24	-2.65	0.43	-3.42	0.42	-2.46	0.75	4.396530956	N
DIRAS1	-0.06	54.08	-0.12	44.54	-0.22	35.67	0.14	61.38	-0.02	53.64	0	61.1	-0.17	38.94	-0.12	48.49	9.973500361	Y
DIRAS2	-0.08	52.75	-0.14	42.88	-0.4	26.24	0.12	59.81	-0.02	53.64	0	61.1	-0.17	38.94	-0.12	48.49	6.522524693	Y
DIRAS3	0.24	72.99	-0.05	49.76	-0.54	20.58	0	49.5	0.02	56.56	0.31	76.03	0.12	59.86	-0.08	50.87	64.04480848	Y
DIRC1	0.78	88.06	0.64	83.63	0.26	66.51	1.02	94.26	0.98	90.41	0.44	80.53	0.7	85.33	0.36	76.95	77.38496748	N
DIRC2	-0.33	31.07	-0.29	32.94	0.03	52.05	-0.18	35	-0.49	23.35	-0.3	34.73	-0.21	36.73	-0.3	33.66	55.08913515	N
DIS3	0.4	79.18	-0.02	52.32	0.65	83.23	-0.68	12.5	0.82	87.79	0.97	90.66	0.25	67.63	-0.11	48.59	92.85112021	N
DIS3L	0.22	72.42	-0.26	34.97	1.04	91.39	-0.88	8.86	0.06	58.94	0.44	80.03	-0.11	43.02	-0.27	34.57	87.61141894	N
DIS3L2	-0.87	8.82	-0.28	33.53	-0.74	14.67	0.45	81.13	-0.58	19.48	-0.79	10.46	-0.29	31.84	-0.91	8.82	14.20139725	N
DISC1	0.11	67.47	0.2	67.46	1.74	97.2	0.05	53.18	1.37	94.27	0.55	83.24	0.2	64.62	0.63	84.54	89.59889183	N
DISP1	0.5	82.01	0.37	74.78	-0.2	36.56	-1.22	4.92	-0.32	32.47	0.25	72.85	0.22	65.83	0.84	88.65	41.96579138	N
DISP2	0.01	59.57	0.48	78.96	0.58	80.73	-0.46	19.49	1.85	96.83	1.48	94.98	-0.15	40.43	-1.09	6.16	68.12213924	N
DKC1	-0.23	38.75	0.1	61.49	-0.41	25.87	0.22	68.79	-0.29	34.57	-0.17	45.6	0.08	57.16	0.12	66.65	4.179715731	Y
DKK1	-0.19	42.14	0.42	76.81	0.44	75.35	0.56	85.57	0.37	74.91	-0.24	39.98	-0.07	46.14	0.18	69.93	99.29535052	N
DKK2	0.58	83.98	0.08	60.09	0.57	80.47	0.5	83.25	0.27	70.41	0.76	87.73	0.71	85.62	0.21	71.22	94.26041918	Y
DKK3	0.79	88.25	0.73	86.17	0	49.79	1.13	95.26	0.17	65.36	0.17	70.35	0.59	82.24	1.74	96.14	63.38834016	N
DKK4	-0.23	38.75	-0.41	26.23	0.03	51.43	-0.08	42.56	-0.42	26.73	-0.26	38.17	-0.02	49.61	-0.18	43.38	41.53216093	Y
DKKL1	2.14	97.61	1.64	96.11	0.91	89.28	0.96	93.56	1.61	95.85	1.71	96.16	2.01	97.91	1.86	96.64	78.93880993	N
DLAT	0.78	88.1	0.36	74.63	0.29	68.14	-0.51	17.69	0.8	87.46	1.97	97.06	0.62	83.17	0.9	89.5	81.28764153	N
DLC1	0.01	59.93	-0.44	24.64	-1.15	7.55	-2.19	1.19	-0.36	29.36	-0.45	23.44	-1.49	4.18	-0.35	29.73	36.30450494	N
DLD	-0.54	19.15	-0.11	45.26	0.2	62.9	-0.13	38.79	-0.13	44.96	-0.55	18.99	-0.39	26.72	-0.18	41.72	50.81907974	N
DLEC1	-1.16	4.88	0.16	64.93	1.23	93.72	-1.24	4.78	-2.01	1.65	-1.06	5.64	-0.33	29.21	0.31	74.77	63.14743435	N
DLG1	0.81	88.62	0.4	76.41	-0.07	45.01	0.39	78.6	1.32	93.93	1.82	96.55	0.46	77.7	-0.04	54.08	41.57431944	N
DLG2	-1.01	6.61	-1.6	3.04	-1.43	5.02	-0.98	7.24	-1.15	6.66	-0.96	7.3	-1.09	7.81	-1.02	7.06	19.26644182	N
DLG3	-0.46	22.89	-0.25	35.99	-0.04	47.1	-0.04	45.77	-0.25	37.42	-0.38	28.74	-0.25	34.57	-0.48	22.63	8.311250301	N
DLG4	-0.58	17.32	-0.67	15.76	-0.65	16.9	-0.18	35.31	-0.2	40.2	-0.6	17.16	-0.88	11.19	-0.57	18.55	8.558178752	N
DLG5	-0.55	18.49	-2.37	1.13	-1.84	2.78	-2.64	0.62	-2.05	1.57	-0.85	8.83	-2.99	0.64	-2.22	1.02	43.96530956	N
DLGAP1	-0.77	11.06	-1.59	3.05	-1.76	3.01	-1.17	5.41	-1.14	6.78	-0.66	14.26	-1.42	4.6	-1.24	4.76	32.83546133	N
DLGAP2	-1.4	3.12	-1.61	3	-2.23	1.69	-1.33	4.16	-1.46	3.7	-1.1	5.25	-1.95	2.25	-1.67	2.28	25.00602265	N
DLGAP3	-0.87	9.02	-0.87	10.8	-1.75	3.07	-0.22	32.07	-0.88	10.89	-0.79	10.81	-0.76	13.71	-0.81	11.04	20.0373404	N
DLGAP4	-0.73	12.02	-0.72	14.26	-0.34	29.13	-0.45	19.69	-0.57	19.77	-0.49	21.26	-1.05	8.45	-1.25	4.66	46.92242833	N
DLGAP5	0.57	83.69	-0.22	37.66	-0.61	18.26	-0.19	34.42	0.78	86.86	0.12	68.17	0.05	54.41	0.3	74.75	78.74006264	N
DLK1	0.5	81.99	0.55	81.6	-0.08	44.55	0.5	83.44	-0.6	18.69	-0.32	32.03	0.41	75.34	0.85	88.78	24.96988677	N
DLK2	-0.14	46.38	-0.16	42.06	-0.13	40.91	0.14	62.03	0.03	57.07	0.08	66.58	-0.38	27.1	0.05	61.75	55.59503734	N
DLL1	-0.93	7.71	-1.1	6.89	-1.34	5.71	-0.78	10.5	-2.2	1.31	-1.38	3	-1.2	6.37	-0.8	11.22	7.058540111	N
